название,единица_измерения,цена
Анкерный болт под гайку 14х200 Китай,шт,70.0
Анкерный болт под гайку 16х150 Китай,шт,75.0
Анкерный болт под гайку 16х150 ТК,шт,125.0
Анкерный болт под гайку 16х200 ТК,шт,140.0
Анкерный болт под гайку 20х150 ТК,шт,175.0
Анкерный болт под гайку 20х200 ТК,шт,260.0
Анкерный болт под гайку 8х100 Китай,шт,25.0
Анкерный болт под гайку 8х65 ТК,шт,38.0
Анкерный болт под гайку 8х80 ТК,шт,26.0
Гайки ТК,,30.0
Гайка DIN 934 М16 кл.6 оц.ТК,кг,480.0
Гайка М16 ТК,кг,510.0
Гайка М24 ТК,кг,480.0
Гайка М30 ГОСТ 5915-70 кл 8 оц.,кг,490.0
Гайка М36 ТК,кг,490.0
Гайка переходная (муфта) М10 ТК,шт,45.0
Гайка переходная (муфта) М12 ТК,шт,45.0
Гайка переходная (муфта) М8 ТК,шт,30.0
Дюбель-гвозди для бетона,,350.0
Дюбель-гвоздь для бетона 100,кг,350.0
Дюбель-гвоздь для бетона 30,кг,350.0
Дюбель-гвоздь для бетона 40,кг,350.0
Дюбель-гвоздь для бетона 50,кг,350.0
Дюбель-гвоздь для бетона 60,кг,350.0
Дюбель-гвоздь для бетона 70,кг,350.0
Дюбель-гвоздь для бетона 80,кг,350.0
Заклепки,,580.0
"Заклепки 3,2х12 Китай",кг,480.0
"Заклепки 3,2х8 Китай",кг,780.0
"Заклепки 4,0х16 Китай",кг,600.0
"Заклепки 4,8х20 Китай",кг,570.0
"Заклепки 4,8х25 Китай",кг,535.0
Заклепки 4х13 Китай,кг,580.0
Заклепки 4х18 Китай,кг,625.0
Заклепки 5х20 Китай,кг,505.0
Заклепки 6х18 Китай,кг,530.0
Монтажные шурупы,,360.0
"Монтажный шуруп 7,5х112 Китай",кг,360.0
"Монтажный шуруп 7,5х132 Китай",кг,360.0
"Монтажный шуруп 7,5х152 Китай",кг,360.0
"Монтажный шуруп 7,5х182 Китай",кг,360.0
"Монтажный шуруп 7,5х202 Китай",кг,360.0
"Монтажный шуруп 7,5х92 Китай",кг,360.0
Шпильки Китай,,405.0
Шпилька резьбовая М10,шт,120.0
"Шпилька резьбовая М10(6,80)",шт,110.0
Шпилька резьбовая М12 Кит,шт,175.0
"Шпилька резьбовая М12(4,80)",шт,160.0
"Шпилька резьбовая М12(6,80)",шт,170.0
Шпилька резьбовая М14 Кит,шт,260.0
"Шпилька резьбовая М14(4,80)",шт,200.0
"Шпилька резьбовая М14(6,80)",шт,210.0
Шпилька резьбовая М16 Кит,шт,300.0
Шпилька резьбовая М18 Кит,шт,405.0
Шпилька резьбовая М20 Кит,шт,608.0
Шпилька резьбовая М6 Кит,шт,65.0
"Шпилька резьбовая М6(4,80)",шт,40.0
"Шпилька резьбовая М8(6,80)",шт,80.0
Шпильки ТК,,260.0
Шпилька DIN975 22х1000 Class A ТК,шт,580.0
Шпилька резьбовая TR 16х1000 ТК,шт,340.0
Шпилька резьбовая TR 18х1000 ТК,шт,380.0
Шпилька резьбовая М10 ТК,шт,135.0
Шпилька резьбовая М12 ТК,шт,200.0
Шпилька резьбовая М12х2000 ТК,шт,390.0
Шпилька резьбовая М14 ТК,шт,225.0
Шпилька резьбовая М18 ТК,шт,400.0
Шпилька резьбовая М20 ТК,шт,520.0
Шпилька резьбовая М22 ТК,шт,680.0
Шпилька резьбовая М24х1000 ТК,шт,740.0
Шпилька резьбовая М30 ТК,шт,1250.0
Шпилька резьбовая М6 ТК,шт,85.0
Шпилька резьбовая М8 ТК,шт,135.0
Шпилька резьбовая М8х2000 ТК,шт,260.0
Саморезы,,155.0
Винт I,,155.0
"Винт I 3,5x40 Саморез по дер.",кг,155.0
"Винт I 4,0x70 Саморез по дер.",кг,155.0
Стропы,,
"Стропы 16мм 2,5м",шт,550.0
Шайбы,,225.0
Шайба  6 (пружинные),кг,225.0
Шайба  8 (пружинные),кг,225.0
Шайба 10 (пружинные),кг,225.0
Шайба 12 (пружинные),кг,225.0
Шайба 14 (пружинные),кг,225.0
Шайба 16 (пружинные),кг,225.0
Шайба 18 (пружинные),кг,225.0
Шайба 20 (пружинные),кг,225.0
Шайба 22 (пружинные),кг,225.0
Шайба 24 (пружинные),кг,225.0
Шайба 27 (пружинные),кг,225.0
Шайба 30 (пружинные),кг,225.0
Шайба М10,кг,225.0
"Шайба М10 (2х10,5х20)",кг,300.0
Шайба М12,кг,225.0
Шайба М14,кг,225.0
Шайба М16,кг,225.0
Шайба М18,кг,225.0
Шайба М20,кг,225.0
Шайба М22,кг,225.0
Шайба М24,кг,225.0
Шайба М27,кг,225.0
Шайба М6,кг,225.0
Шайба М8,кг,225.0
Шайба с резиной большая,кг,350.0
Шайба с резиной маленькая,кг,350.0
Шайбы Китай,,330.0
Шайба М 6 Китай,кг,330.0
Шайба М 8 Китай,кг,330.0
Шайба М10 Китай,кг,330.0
Шайба М12 Китай,кг,330.0
Шайба М14 Китай,кг,330.0
Шайба М16 Китай,кг,330.0
Шайба М18 Китай,кг,330.0
Шайба М20 (4х22х60) увелич,кг,330.0
Шайба М20 Китай,кг,330.0
Шайба с увелич наружным диаметром М10 Китай,кг,330.0
Шайба с увелич наружным диаметром М14 Китай,кг,330.0
Шайба с увелич наружным диаметром М16 Китай,кг,330.0
Шайба с увелич наружным диаметром М6 Китай,кг,330.0
Шайбы ТК,,420.0
Шайба DIN 125 М16 ТК,шт,7.0
Шайба М18 весом ТК,кг,420.0
Шайба М30 ТК,кг,490.0
Шайба плоская ГОСТ 11371-78 М22 оц. ТК,кг,470.0
Шайба плоская ГОСТ 11371-78 М24 оц. ТК,кг,470.0
Шайба плоская ГОСТ 11371-78 М27 оц. ТК,кг,470.0
Шурупы,,380.0
Кровельные шурупы (Кит),,380.0
Кровельные шурупы КИТ Бордовые,,380.0
"Кровельные шурупы 4,8х20 борд Кит",кг,380.0
"Кровельные шурупы 4,8х25 борд Кит",кг,380.0
"Кровельные шурупы 4,8х30 борд Кит",кг,380.0
"Кровельные шурупы 4,8х40 борд Кит",кг,380.0
"Кровельные шурупы 4,8х50 борд Кит",кг,380.0
"Кровельные шурупы 4,8х60 борд Кит",кг,380.0
"Кровельные шурупы 4,8х70 борд Кит",кг,380.0
Кровельные шурупы КИТ Желтые,,380.0
"Кровельные шурупы 5,5х100 желт Кит",кг,380.0
"Кровельные шурупы 5,5х125 желтые Кит",кг,380.0
"Кровельные шурупы 5,5х19 желт Кит",кг,380.0
"Кровельные шурупы 5,5х25 желт Кит",кг,380.0
"Кровельные шурупы 5,5х30 желт Кит",кг,380.0
"Кровельные шурупы 5,5х40 желт Кит",кг,380.0
"Кровельные шурупы 5,5х50 желт Кит",кг,380.0
"Кровельные шурупы 5,5х60 желт Кит",кг,380.0
"Кровельные шурупы 5,5х70 желт Кит",кг,380.0
"Кровельные шурупы 5,5х80 желтые Кит",кг,380.0
"Кровельные шурупы 6,3х150 желтые Кит",кг,380.0
"Кровельные шурупы 6,3х165 желтые Кит",кг,380.0
Кровельные шурупы КИТ Зеленые,,380.0
"Кровельные шурупы 4,8х25 зелен Кит",кг,380.0
"Кровельные шурупы 4,8х30 зелен Кит",кг,380.0
"Кровельные шурупы 4,8х40 зелен Кит",кг,380.0
"Кровельные шурупы 4,8х50 зелен Кит",кг,380.0
"Кровельные шурупы 4,8х60 зелен Кит",кг,380.0
"Кровельные шурупы 4,8х70 зелен Кит",кг,380.0
Кровельные шурупы КИТ Серые,,380.0
"Кровельные шурупы 4,8х25 серые Кит",кг,380.0
"Кровельные шурупы 4,8х38 серые Кит",кг,380.0
"Кровельные шурупы 4,8х50 серые Кит",кг,380.0
"Кровельные шурупы 4,8х60 серые Кит",кг,380.0
Кровельные шурупы КИТ ЦИНК,,380.0
"Кровельные шурупы 4,8х100 цинк Кит",кг,380.0
"Кровельные шурупы 4,8х19 цинк Кит",кг,380.0
"Кровельные шурупы 4,8х25 цинк Кит",кг,380.0
"Кровельные шурупы 4,8х30 цинк Кит",кг,380.0
"Кровельные шурупы 4,8х32 цинк Кит",кг,380.0
"Кровельные шурупы 4,8х38 цинк Кит",кг,380.0
"Кровельные шурупы 4,8х40 цинк Кит",кг,380.0
"Кровельные шурупы 4,8х50 цинк Кит",кг,380.0
"Кровельные шурупы 4,8х60 цинк Кит",кг,380.0
"Кровельные шурупы 4,8х70 цинк Кит",кг,380.0
"Кровельные шурупы 4,8х80 цинк Кит",кг,380.0
Кровельные шурупы КИТ Шоколад,,380.0
"Кровельные шурупы 4,8х20 шокол Кит",кг,380.0
"Кровельные шурупы 4,8х25 шокол Кит",кг,380.0
"Кровельные шурупы 4,8х30 шокол Кит",кг,380.0
"Кровельные шурупы 4,8х38 шокол Кит",кг,380.0
"Кровельные шурупы 4,8х40 шокол Кит",кг,380.0
"Кровельные шурупы 4,8х50 шокол Кит",кг,380.0
"Кровельные шурупы 4,8х60 шокол Кит",кг,380.0
"Кровельные шурупы 4,8х70 шокол Кит",кг,380.0
Шурупы по дереву и ГКЛ Кит,,320.0
Шурупы для ГКЛ,,320.0
"Шуруп для Г/К 3,5х16 мелк рез Кит",кг,320.0
"Шуруп для Г/К 3,5х25 мелк рез Кит",кг,320.0
"Шуруп для Г/К 3,5х30 мелк рез Кит",кг,320.0
"Шуруп для Г/К 3,5х35 мелк рез Кит",кг,320.0
"Шуруп для Г/К 3,5х40 мелк рез Кит",кг,320.0
"Шуруп для Г/К 3,5х50 мелк рез Кит",кг,320.0
Шурупы по дереву,,320.0
"Шуруп по дереву 3,5х16 Кит",кг,320.0
"Шуруп по дереву 4,2х100 Кит",кг,320.0
"Шуруп по дереву 4,2х20 Кит",кг,320.0
"Шуруп по дереву 4,2х25 Кит",кг,320.0
"Шуруп по дереву 4,2х30 Кит",кг,320.0
"Шуруп по дереву 4,2х35 Кит",кг,320.0
"Шуруп по дереву 4,2х40 Кит",кг,320.0
"Шуруп по дереву 4,2х50 Кит",кг,320.0
"Шуруп по дереву 4,2х60 Кит",кг,320.0
"Шуруп по дереву 4,2х70 Кит",кг,320.0
"Шуруп по дереву 4,2х80 Кит",кг,320.0
"Шуруп по дереву 4,2х90 Кит",кг,320.0
Шурупы по металлу (Кит),,330.0
Шурупы по металлу без сверла,,330.0
"Шуруп по металлу без сверла 4,2х13 Кит",кг,330.0
"Шуруп по металлу без сверла 4,2х16 Кит",кг,330.0
"Шуруп по металлу без сверла 4,2х19 Кит",кг,330.0
"Шуруп по металлу без сверла 4,2х25 Кит",кг,330.0
"Шуруп по металлу без сверла 4,2х32 Кит",кг,330.0
"Шуруп по металлу без сверла 4,2х38 Кит",кг,330.0
"Шуруп по металлу без сверла 4,2х51 Кит",кг,330.0
Шурупы по металлу со сверлом,,330.0
"Шуруп по металлу со сверлом 4,2х13 Кит",кг,330.0
"Шуруп по металлу со сверлом 4,2х16 Кит",кг,330.0
"Шуруп по металлу со сверлом 4,2х19 Кит",кг,330.0
"Шуруп по металлу со сверлом 4,2х25 Кит",кг,330.0
"Шуруп по металлу со сверлом 4,2х32 Кит",кг,330.0
"Шуруп по металлу со сверлом 4,2х38 Кит",кг,330.0
"Шуруп по металлу со сверлом 4,2х50 Кит",кг,330.0
"Шуруп по металлу со сверлом 4,2х60 Кит",кг,330.0
"Шуруп по металлу со сверлом 4,2х70 Кит",кг,330.0
"Шуруп по металлу со сверлом 4,8х100 Кит",кг,330.0
"Шуруп по металлу со сверлом 4,8х80 Кит (крокодил)",кг,330.0
Саморез оконный,,330.0
"Саморез оконный со сверлом 4,2х16 Кит",кг,330.0
"Саморез оконный со сверлом 4,2х19 Кит",кг,330.0
"Саморез оконный со сверлом 4,2х25 Кит",кг,330.0
"Саморез оконный со сверлом 4,2х32 Кит",кг,330.0
"Саморез оконный со сверлом 4,2х38 Кит",кг,330.0
Проволока,,75.0
Проволока для армирования,,69.0
"Проволока 3,2 Вр1",кг,69.0
Проволока ЗТТА,,73.0
"Проволока 2,1 ОН ЗТТА",кг,73.0
Проволока Китай,,105.0
Проволока оцинков. 1.2,кг,105.0
Проволока оцинков. 2.8,кг,105.0
Проволока оцинков. 4.0,кг,105.0
Проволока колючая,,75.0
"Проволока колючая 2,8",кг,75.0
"Проволока колючая 2,8 оцинкованная",кг,110.0
Проволока сварная,,1250.0
"Проволока сварная 0,8мм ER 705-6 КИТАЙ",шт,1250.0
"Проволока сварочная 0,8 мм 1 кг MAXMUM MX 08991",шт,610.0
Прокат круглый,,65.0
Арматура (Бишкек),,39.0
Арм № 10 (Бишкек),м,39.0
Арм № 12 (Бишкек),м,60.0
Арм № 14 (Бишкек),м,65.0
Арм № 16 (Бишкек),м,70.0
Арматура российская,,65.0
Арматура № 06 АIII,кг,68.0
Арматура № 08 35ГС АIII,кг,67.0
Арматура № 08 А500С,кг,67.0
Арматура № 10 А500С,кг,67.0
Арматура № 12 А500С,кг,66.0
Арматура № 14 А500С,кг,65.0
Арматура № 16 А500С,кг,65.0
Арматура № 18 А500С,кг,65.0
Арматура № 20 А500С,кг,65.0
Арматура № 22 А500С,кг,65.0
Арматура № 25 А500С,кг,65.0
Арматура № 28 А500С,кг,65.0
Арматура № 32 А500С,кг,65.0
Ванночки и анкерн.шайбы для арматуры,,56.0
Анкерная шайба АШХ-2 (16),шт,82.0
Анкерная шайба АШХ-3 (18),шт,92.0
Анкерная шайба АШХ-4 (20),шт,117.0
Анкерная шайба АШХ-5 (22),шт,158.0
Анкерная шайба АШХ-6 (25),шт,204.0
Анкерная шайба АШХ-7 (28),шт,281.0
Анкерная шайба АШХ-8-2(32),шт,311.0
