название,единица_измерения,цена
Нож для ГКЛ,шт,115.0
Нож для ГКЛ KBS201 OSKAR,шт,130.0
Нож столярный,шт,60.0
Нож столярный Exprofil,шт,80.0
Нож столярный HKNS11807,шт,260.0
Нож столярный LUX,шт,90.0
Нож строительный Exprofil,шт,130.0
Нож ЭКСПЕРТ SK200,шт,185.0
Ножницы по металлу КИТАЙ,шт,265.0
Ножницы ПРОСТЫЕ (большие),шт,55.0
Ножницы Садовые MAXIMUM MX 17269,шт,150.0
Ножовка для ГКЛ CD1224 OSKAR,шт,220.0
Ножовка для ГКЛ Кит.,шт,160.0
Ножовка по дереву 450 ( деревянная ручка ),шт,340.0
Ножовка по дереву 450мм MAXIMUM MX-02548,шт,250.0
Ножовка по дереву 500( деревянная ручка ),шт,350.0
Ножовка по металлу Exprofil,шт,445.0
Ножовка по металлу LUX КИТАЙ,шт,270.0
Ножовка по металлу PLT88 OSKAR,шт,280.0
Ножовка по металлу КИТАЙ,шт,245.0
Пилка для лобзика HAIBOSCI 101AO,шт,185.0
Пилка для лобзика HAIBOSCI T118A,шт,185.0
Пилка для лобзика T101 B,шт,100.0
Пилка для лобзика T118,шт,80.0
Пилка для лобзика T144 D,шт,90.0
Пилка для лобзика T244 D,шт,100.0
Пилка для лобзика АЛЮСИ 101AO,шт,120.0
Пилка для лобзика АЛЮСИ 101B,шт,120.0
Пилка для лобзика АЛЮСИ 101BR,шт,120.0
Пилка для лобзика АЛЮСИ 101BRF,шт,120.0
Пилка для лобзика АЛЮСИ 144D,шт,120.0
Пилка для лобзика АЛЮСИ 244D,шт,120.0
Пилка для лобзика АЛЮСИ 311C,шт,185.0
Пилки для лобзика T118A (по металлу) SFDA5,шт,95.0
Полотно по металлу,шт,16.0
Полотно по металлу двустороннее,шт,14.0
Секатор 25 (кусторез),шт,490.0
Секатор 8 Industrial TOLSEN 31032,шт,690.0
Секатор Expert,шт,340.0
Секатор HAIBOSCI 573097,шт,460.0
Секатор MAXIMUM MX 14404,шт,230.0
Секатор OSK117 OSKAR,шт,660.0
Секатор OSK118 OSKAR,шт,785.0
Секатор КИТАЙ,шт,390.0
Секатор КИТАЙ дешевый,шт,185.0
Стеклорез желтый,шт,75.0
Стусло в комплекте с ножовкой (Большое),шт,490.0
Стусло в комплекте с ножовкой (Маленькое),шт,250.0
Труборез MAXIMUM MX 15982,шт,980.0
Труборез для пласт. труб БОЛЬШОЙ КИТ.,шт,300.0
Труборез для пласт. труб МАЛЕНЬКИЙ КИТ.,шт,230.0
Хвостовик для коронки 110мм,шт,140.0
Хвостовик для коронки 220мм,шт,250.0
Хвостовик для коронки 350мм,шт,350.0
Хвостовик для коронки 500мм,шт,530.0
Хвостовик для коронки 600мм,шт,560.0
Рулетки,,240.0
Ремень стяжной 10м (3т) MX 03231,шт,1360.0
Рулетка 20-и метровая,шт,240.0
Рулетка 30-и метровая,шт,390.0
Рулетка 50-и метровая,шт,420.0
Рулетка 50м.металл,шт,400.0
Рулетка ExProfil 10м,шт,290.0
Рулетка ExProfil 3м,шт,105.0
"Рулетка HSMT 0410 10х12,5мм INCCO",шт,315.0
Рулетка LIT 190756 (50м),шт,605.0
Рулетка MAXIMUM 10м,шт,275.0
Рулетка MAXIMUM 5м,шт,110.0
"Рулетка MAXIMUM 7,5м",шт,220.0
Рулетка MAXIMUM MX13209  ударная 3м,шт,90.0
Рулетка MAXIMUM MX13216 ударная 5м,шт,110.0
"Рулетка MAXIMUM MX13223 ударная 7,5м",шт,220.0
Рулетка MAXIMUM ударная 3м,шт,95.0
Рулетка OMT 1025 Хром OSKAR 10м.,шт,360.0
Рулетка OMT 319 Хром OSKAR 3м.,шт,120.0
Рулетка OMT 519 Хром OSKAR 5м.,шт,165.0
"Рулетка OMT 7525 Хром OSKAR 7,5м.",шт,275.0
Рулетка OSM 319 Черная OSKAR 3м.,шт,115.0
Рулетка OSM 519 Черная OSKAR 5м.,шт,165.0
Рулетка OSM 525 Черная OSKAR 5м.,шт,195.0
"Рулетка OSM 7525 Черная OSKAR 7,5м.",шт,280.0
Рулетка OSMA 1025 черная OSKAR 10м.,шт,190.0
Рулетка OSMA 1025 черная OSKAR 10м.,шт,400.0
Рулетка OSMP 1025 Прозрач. OSKAR 10м,шт,365.0
Рулетка OSMP 319 Прозрач. OSKAR 3м.,шт,105.0
Рулетка OSMP 519 Прозрач. OSKAR 5м.,шт,160.0
Рулетка OSMP 525 Прозрач. OSKAR 5м.,шт,190.0
"Рулетка OSMP 7525 Прозрач. OSKAR 7,5м.",шт,280.0
"Рулетка OSMА 7525 Черная OSKAR 7,5м.",шт,320.0
Рулетка OSR 319  OSKAR 3м.,шт,120.0
Рулетка OSR 519  OSKAR 5м.,шт,160.0
Рулетка STAERS 3 м.,шт,80.0
"Рулетка измерительная с лазером MAXIMUM 2,5м",шт,600.0
Рулетка лазерная OML 530 OSKAR,шт,2350.0
Рулетка ОСКАР 100-ти метровая,шт,680.0
Рулетка ОСКАР 30-ти метровая,шт,385.0
Рулетка х/б 30м Китай,шт,230.0
Рулетка х/б 50м Китай,шт,360.0
Рулетка ЭКСПЕРТ XP0730 (30м),шт,490.0
Сверла / насадки,,450.0
Бур по бетону 8х160мм SFHU8160,шт,62.0
Бур по по камню(крест) 16х540 мм SOMAFIX SF1654,шт,720.0
Бур по по камню(крест) 18х540 мм SOMAFIX SF1854,шт,745.0
Бур по по камню(крест) 20х520 мм SOMAFIX SF2052,шт,836.0
Бур по по камню(крест) 22х520 мм SOMAFIX SF2252,шт,986.0
Лопатка для перфоратора большая (Кит),шт,150.0
Лопатка для перфоратора маленькая (Кит),шт,110.0
Метчик большой (набор 40шт),набор,1070.0
Метчик маленький (набор 20шт),набор,690.0
Миксер для сухих смесей - ДРЕЛЬ Больш Кит,шт,170.0
Миксер для сухих смесей - ДРЕЛЬ Мал Кит,шт,160.0
Миксер резьбовой,шт,340.0
Набор сверел с метчиком (6шт) Exprofil,упак,370.0
Насадка на миксер БОЛЬШАЯ - ПЕРФОРАТОР,шт,260.0
Насадка на миксер МАЛЕНЬКАЯ - ПЕРФОРАТОР,шт,250.0
Пика для перфоратора большая (Кит),шт,165.0
Пика для перфоратора маленькая (Кит),шт,100.0
"Сверло перевое по дереву 14,0",шт,75.0
"Сверло перевое по дереву 16,0",шт,80.0
"Сверло перевое по дереву 18,0",шт,95.0
"Сверло перевое по дереву 20,0",шт,110.0
"Сверло по дереву с подрезателем 10,0",шт,105.0
"Сверло по дереву с подрезателем 10,0(20)",шт,135.0
"Сверло по дереву с подрезателем 10,0(20)",шт,150.0
"Сверло по дереву с подрезателем 12,0",шт,215.0
"Сверло по дереву с подрезателем 14,0",шт,190.0
"Сверло по дереву с подрезателем 18,0",шт,200.0
"Сверло по дереву с подрезателем 20,0",шт,240.0
"Сверло по дереву с подрезателем 6,0",шт,50.0
"Сверло по дереву с подрезателем 6,0(20)",шт,105.0
"Сверло по дереву с подрезателем 8,0",шт,120.0
"Сверло по дереву с подрезателем 8,0(20)",шт,120.0
"Сверло по дереву с подрезателем 9,0",шт,75.0
Сверло по дереву с подрезателем набор Китай,шт,250.0
Сверло по кафелю PIRANI 10мм,шт,155.0
Сверло по кафелю PIRANI 12мм,шт,200.0
Сверло по кафелю PIRANI 14мм,шт,275.0
Сверло по кафелю PIRANI 6мм,шт,100.0
Сверло по кафелю PIRANI 8мм,шт,115.0
"Сверло по кафелю, стеклу 6 мм  КИТАЙ",шт,50.0
"Сверло по металлу 5,5мм SFTU55",шт,26.0
Сверло с победитом 10мм,шт,70.0
Сверло с победитом 12мм,шт,80.0
Сверло с победитом 6мм,шт,48.0
Сверло с победитом 7мм,шт,55.0
Сверло с победитом 8мм,шт,65.0
"Сверло ступенчатое 4,0х12",шт,195.0
"Сверло ступенчатое 4,0х20",шт,240.0
"Сверло ступенчатое 4,0х32",шт,450.0
Сверло ступенчатое PIRANI 20мм,шт,550.0
Сверло ступенчатое PIRANI 32мм,шт,670.0
Сверло ступенчатое PIRANI 45мм,шт,1315.0
Фреза по дереву 20мм,шт,95.0
Биты и шестигранники,,23.0
Биты CROTT под гайку 8мм,шт,25.0
Биты OSKAR крестовые (10шт) ОВ 02,шт,30.0
Биты PH2 127мм MAXIMUM MX 16033,шт,60.0
Биты PH2 с ограничителем MAXIMUM MX-03774,шт,40.0
Биты PH2 с ограничителем MAXIMUM MX-15081,шт,380.0
Биты без ограничителя цветные 10мм (10шт),шт,45.0
Биты БОЛИАН крестовые,шт,35.0
Биты БОЛИАН под гайку 8 мм,шт,70.0
Биты для ГКЛ 10шт,шт,15.0
Биты для ГКЛ РАКЕТА,шт,55.0
Биты крестовые Китай,шт,25.0
"Биты под гайку 0,8 MAXIMUM MX 03989",шт,20.0
Биты с ограничителем 10мм (10шт),шт,45.0
Набор шестигранных ключей (звездочка) MX 07406,шт,250.0
Шестигранная магнитная насадка (звездочка) MX 04047,шт,15.0
Шестигранная магнитная насадка БОЛИАН,шт,30.0
Шестигранная магнитная насадка БОЛИАН(звездочка),шт,35.0
Шестигранная магнитная насадка Китай,шт,23.0
Бур BOLIAN,,95.0
Бур Bolian 10х210,шт,90.0
Бур Bolian 12х350,шт,150.0
Бур Bolian 14х350,шт,180.0
Бур Bolian 16х160,шт,120.0
Бур Bolian 18х350,шт,300.0
Бур Bolian 6х160,шт,60.0
Бур Bolian 6х210,шт,85.0
Бур Bolian 6х300,шт,120.0
Бур Bolian 8х160,шт,57.0
Бур Bolian 8х200,шт,90.0
Бур Bolian 8х210,шт,85.0
Бур Bolian 8х300,шт,95.0
Бур CUTOP,,225.0
Бур CUTOP 10х600мм,шт,637.0
Бур CUTOP 12х160мм,шт,225.0
Бур CUTOP 12х600мм,шт,740.0
Бур CUTOP 14х260мм,шт,430.0
Бур CUTOP 14х600мм,шт,845.0
Бур CUTOP 16х160мм,шт,347.0
Бур CUTOP 16х600мм,шт,1065.0
Бур CUTOP 18х260мм,шт,770.0
Бур CUTOP 18х460мм,шт,1080.0
Бур CUTOP 18х600мм,шт,1340.0
Бур CUTOP 20х310мм,шт,960.0
Бур CUTOP 20х600мм,шт,1480.0
Бур CUTOP 22х260мм,шт,940.0
Бур CUTOP 22х310мм,шт,990.0
Бур CUTOP 25х460мм,шт,1620.0
Бур CUTOP 25х600мм,шт,2100.0
Бур CUTOP 4х110мм,шт,152.0
Бур CUTOP 5х110мм,шт,160.0
Бур CUTOP 6х160мм,шт,183.0
Бур CUTOP 6х260мм,шт,266.0
Бур CUTOP 8х110мм,шт,170.0
Бур CUTOP 8х160мм,шт,185.0
Бур CUTOP 8х210мм,шт,235.0
Бур CUTOP 8х260мм,шт,276.0
Бур CUTOP 8х310мм,шт,290.0
Бур HARDCORE,,575.0
Бур по бетону HARDCORE 10х160,шт,240.0
Бур по бетону HARDCORE 10х210,шт,300.0
Бур по бетону HARDCORE 10х260,шт,360.0
Бур по бетону HARDCORE 10х310,шт,380.0
Бур по бетону HARDCORE 10х460,шт,600.0
Бур по бетону HARDCORE 10х600,шт,640.0
Бур по бетону HARDCORE 12х160,шт,270.0
Бур по бетону HARDCORE 12х210,шт,350.0
Бур по бетону HARDCORE 12х260,шт,380.0
Бур по бетону HARDCORE 12х310,шт,400.0
Бур по бетону HARDCORE 12х460,шт,640.0
Бур по бетону HARDCORE 12х600,шт,825.0
Бур по бетону HARDCORE 14х160,шт,420.0
Бур по бетону HARDCORE 14х210,шт,420.0
Бур по бетону HARDCORE 14х260,шт,560.0
Бур по бетону HARDCORE 14х310,шт,570.0
Бур по бетону HARDCORE 14х460,шт,880.0
Бур по бетону HARDCORE 14х600,шт,1020.0
Бур по бетону HARDCORE 16х160,шт,460.0
Бур по бетону HARDCORE 16х210,шт,500.0
Бур по бетону HARDCORE 16х260,шт,575.0
Бур по бетону HARDCORE 16х310,шт,605.0
Бур по бетону HARDCORE 16х460,шт,990.0
Бур по бетону HARDCORE 16х600,шт,1240.0
Бур по бетону HARDCORE 18х260,шт,750.0
Бур по бетону HARDCORE 18х310,шт,910.0
Бур по бетону HARDCORE 18х460,шт,1300.0
Бур по бетону HARDCORE 18х600,шт,1390.0
Бур по бетону HARDCORE 20х310,шт,980.0
Бур по бетону HARDCORE 20х600,шт,1700.0
Бур по бетону HARDCORE 22х310,шт,1220.0
Бур по бетону HARDCORE 25х460,шт,2100.0
Бур по бетону HARDCORE 25х600,шт,2590.0
Бур по бетону HARDCORE 4х110,шт,175.0
Бур по бетону HARDCORE 5х110,шт,170.0
Бур по бетону HARDCORE 5х160,шт,180.0
Бур по бетону HARDCORE 6х110,шт,165.0
Бур по бетону HARDCORE 6х160,шт,180.0
Бур по бетону HARDCORE 6х210,шт,280.0
Бур по бетону HARDCORE 6х260,шт,320.0
Бур по бетону HARDCORE 8х160,шт,210.0
Бур по бетону HARDCORE 8х210,шт,275.0
Бур по бетону HARDCORE 8х260,шт,315.0
Бур по бетону HARDCORE 8х310,шт,360.0
Буры CROTT,,120.0
Бур Crott 12х200,шт,95.0
Бур Crott 12х350,шт,130.0
Бур Crott 14х350,шт,120.0
Буры EXPERT,,50.0
Бур EXPERT 8х210,шт,50.0
Буры OSKAR,,120.0
Бур OSB 10х160 OSKAR,шт,80.0
Бур OSB 10х210 OSKAR,шт,95.0
Бур OSB 10х260 OSKAR,шт,120.0
Бур OSB 10х350 OSKAR,шт,145.0
Бур OSB 12х160 OSKAR,шт,90.0
Бур OSB 12х260 OSKAR,шт,120.0
Бур OSB 12х350 OSKAR,шт,160.0
Бур OSB 14х210 OSKAR,шт,160.0
Бур OSB 14х260 OSKAR,шт,175.0
Бур OSB 14х350 OSKAR,шт,220.0
Бур OSB 16х350 OSKAR,шт,250.0
Бур OSB 6х110 OSKAR,шт,58.0
Бур OSB 6х160 OSKAR,шт,60.0
Бур OSB 6х210 OSKAR,шт,80.0
Бур OSB 6х300 OSKAR,шт,110.0
Бур OSB 8х160 OSKAR,шт,70.0
Бур OSB 8х210 OSKAR,шт,85.0
Бур OSB 8х260 OSKAR,шт,110.0
Буры SDS,,88.0
Бур SDS Plus d=10х160 mm,шт,38.0
Бур SDS Plus d=12х160 mm,шт,38.0
Бур SDS Plus d=12х200 mm,шт,52.0
Бур SDS Plus d=12х350 mm,шт,88.0
Бур SDS Plus d=12х500 mm,шт,203.0
Бур SDS Plus d=12х600 mm,шт,160.0
Бур SDS Plus d=14х600 mm,шт,160.0
Бур SDS Plus d=18х200 mm,шт,52.0
Бур SDS Plus d=18х350 mm,шт,102.0
Бур SDS Plus d=18х600 mm,шт,220.0
Бур SDS Plus d=20х600 mm,шт,290.0
Бур SDS Plus d=28х600 mm,шт,650.0
Бур SDS Plus d=32х600 mm,шт,650.0
Бур SDS Plus d=38х600 mm,шт,868.0
Бур SDS Plus d=5х160  mm,шт,38.0
Бур SDS Plus d=6х200 mm,шт,52.0
Бур SDS Plus d=8х160 mm,шт,38.0
Бур SDS Plus d=8х200 mm,шт,52.0
Бур SDS Plus d=8х350 mm,шт,88.0
Бур SDS Plus d=8х600 mm,шт,160.0
Буры TOLSEN,,75.0
Бур 10х160мм 4х4 Industrial TOLSEN 74826,шт,230.0
Бур 10х210мм 4х4 Industrial TOLSEN 74846,шт,270.0
Бур 10х260мм 4х4 Industrial TOLSEN 74866,шт,290.0
Бур 10х400мм 4х4 SDS MAX HOTECHE 533210,шт,940.0
Бур 10х600мм SDS-plus HOTECHE 530157,шт,425.0
Бур 12х160мм 4х4 Industrial TOLSEN 74828,шт,260.0
Бур 12х210мм 4х4 Industrial TOLSEN 74848,шт,290.0
Бур 12х260мм 4х4 Industrial TOLSEN 74868,шт,310.0
Бур 12х450мм 4х4 Industrial TOLSEN 74908,шт,460.0
Бур 14х310мм 4х4 Industrial TOLSEN 74890,шт,410.0
Бур 16х210мм 4х4 Industrial TOLSEN 74852,шт,395.0
Бур 18х1000мм 4х4 SDS MAX HOTECHE 533818,шт,3060.0
Бур 18х450мм Industrial TOLSEN 75414,шт,605.0
Бур 20х1000мм 4х4 SDS MAX HOTECHE 533820,шт,3150.0
Бур 22х1000мм 4х4 SDS MAX HOTECHE 533822,шт,3400.0
Бур 25х1000мм 4х4 SDS MAX HOTECHE 533825,шт,3850.0
Бур 6х160мм 4х4 Industrial TOLSEN 74822,шт,200.0
Бур 6х210мм 4х4 Industrial TOLSEN 74842,шт,250.0
Бур 6х260мм Industrial TOLSEN 75362,шт,185.0
Бур 8х110мм SDS-plus Industrial TOLSEN 75304,шт,115.0
Бур 8х160мм 4х4 Industrial TOLSEN 74824,шт,210.0
Бур 8х160мм Industrial TOLSEN 75324,шт,145.0
Бур 8х210мм 4х4 SDS-Plus X-TIP Industrial TOLSEN 74844,шт,260.0
Бур 8х260мм 4х4 Industrial TOLSEN 74864,шт,260.0
Диск наждачный с липуч.9х225мм Р120 HOTECHE560835,шт,670.0
Набор бит 1/4 50мм PН2 (15шт) HOTECHE 251019,шт,670.0
Набор бит и головок (42шт) TOLSEN 20041,шт,1440.0
Набор головок 1/4 (46шт) Indastrial TOLSEN 15138,шт,2750.0
Набор экстракторов Industrial (5шт) TOLSEN 33505,шт,500.0
Напильник круглый по металлу 8 TOLSEN 32009,шт,280.0
Напильник плоский по металлу 8 TOLSEN 32001,шт,320.0
Напильник полукруглый по металлу 8 TOLSEN 32005,шт,400.0
Отвертка усиленная РН 2х100мм TOLSEN 20154,шт,140.0
"Отвертка шлицевая 6,5х100мм TOLSEN 20144",шт,140.0
Сверло BLK Bronze М2 HSS 10х87х133(5шт)TOLSEN 75127,шт,380.0
"Сверло BLK Bronze М2 HSS 4,2х43х75 (10шт)TOLSEN 75114",шт,70.0
Сверло по керамике и стеклу 6мм TOLSEN 75693,шт,160.0
Сверло по керамике и стеклу 8ммTOLSEN 75695,шт,200.0
"Сверло черн-золот 4,5х80х47мм TOLSEN 75115",шт,75.0
"Сверло черн-золот 7,5х69х109мм TOLSEN 75122",шт,215.0
"Сверло черн-золот 8,5х75х117мм TOLSEN 75124",шт,250.0
"Сверло черн-золот 9,5х81х125мм TOLSEN 75126",шт,330.0
Сверло черн-золот с прямым хвост. 5х52х86 (10шт) TOLSEN 7511,шт,90.0
"Сверло черн-золот с прямым хвост.5,5х57х93 (10шт) TOLSEN 751",шт,115.0
Сверло черно-зол. 4х43х75мм (10шт)TOLSEN 75113,шт,60.0
"Сверло черно-зол.с прямым хвост. 3,5х39х70 (10шт)TOLSEN 7511",шт,50.0
Сверло черно-золотистое 3х33х61мм (10шт)TOLSEN 75109,шт,45.0
"Сверло черно-золт 6,5х63х101мм (10шт)TOLSEN 75120",шт,145.0
Сверло черно-золт 7х69х109мм (10шт)TOLSEN 75121,шт,160.0
Сверло черно-золт 8х75х117мм (10шт)TOLSEN 75123,шт,215.0
Сверло черно-золт 9х81х125мм (5шт)TOLSEN 75125,шт,290.0
Сверла TOTAL,,20.0
Сверло по металлу 3х61мм TAC100303,шт,20.0
Сверло по металлу 4.0х75мм TAC100403,шт,25.0
Сверло по металлу 8х117мм TAC100803,шт,95.0
Сверла ВЮРТ,,325.0
"Сверло по металлу HSS 2,0мм ВЮРТ",шт,50.0
"Сверло по металлу HSS 5,5мм ВЮРТ",шт,125.0
"Сверло по металлу HSS 6,5мм ВЮРТ",шт,190.0
"Сверло по металлу HSS 7,0мм ВЮРТ",шт,185.0
"Сверло по металлу HSS 8,0мм ВЮРТ",шт,325.0
"Сверло по металлу HSS 9,0мм ВЮРТ",шт,325.0
Сверла Китай,,100.0
Набор перьевых сверел по дереву 6шт MAXIMUM MX 13131,шт,185.0
Набор сверел HSS 6шт MAXIMUM MX 11809,шт,640.0
Набор ступенчатых сверел MAXIMUM MX 16804,шт,380.0
Сверло по кафелю 10 MAXIMUM MX 06904,шт,70.0
Сверло по кафелю 8 MAXIMUM MX 06898,шт,60.0
"Сверло по металлу 10,0 мм Китай",шт,135.0
"Сверло по металлу 12,0 мм Китай",шт,160.0
"Сверло по металлу 14,0 мм Китай",шт,210.0
"Сверло по металлу 16,0 мм Китай",шт,345.0
"Сверло по металлу 3,0 мм Китай",шт,25.0
"Сверло по металлу 4,0 мм Китай",шт,25.0
"Сверло по металлу 5,0 мм Китай",шт,35.0
"Сверло по металлу 6,0 мм Китай",шт,45.0
"Сверло по металлу 7,0 мм Китай",шт,52.0
"Сверло по металлу 8,0 мм Китай",шт,85.0
"Сверло по металлу 9,0 мм Китай",шт,100.0
Сверла Р6М5 / СЦ,,1335.0
"Сверло по металлу Р6М5-В (10,0) СЦП 10902В",шт,505.0
"Сверло по металлу Р6М5-В (12,0) СЦП 10902В",шт,1200.0
"Сверло по металлу Р6М5-В (2,0) СЦП 10902В",шт,65.0
"Сверло по металлу Р6М5-В (2,5) СЦП 10902В",шт,75.0
"Сверло по металлу Р6М5-В (3,0) СЦП 10902В",шт,60.0
"Сверло по металлу Р6М5-В (3,2) СЦП 10902В",шт,60.0
"Сверло по металлу Р6М5-В (3,5) СЦП 10902В",шт,70.0
"Сверло по металлу Р6М5-В (4,0) СЦП 10902В",шт,80.0
"Сверло по металлу Р6М5-В (4,2) СЦП 10902В",шт,90.0
"Сверло по металлу Р6М5-В (4,5) СЦП 10902В",шт,105.0
"Сверло по металлу Р6М5-В (5,0) СЦП 10902В",шт,130.0
"Сверло по металлу Р6М5-В (5,5) СЦП 10902В",шт,150.0
"Сверло по металлу Р6М5-В (6,0) СЦП 10902В",шт,170.0
"Сверло по металлу Р6М5-В (6,5) СЦП 10902В",шт,200.0
"Сверло по металлу Р6М5-В (7,0) СЦП 10902В",шт,230.0
"Сверло по металлу Р6М5-В (7,5) СЦП 10902В",шт,280.0
"Сверло по металлу Р6М5-В (8,0) СЦП 10902В",шт,310.0
"Сверло по металлу Р6М5-В (8,5) СЦП 10902В",шт,340.0
"Сверло по металлу Р6М5-В (9,0) СЦП 10902В",шт,405.0
"Сверло по металлу Р6М5-В (9,5) СЦП 10902В",шт,440.0
"Сверло по металлу Р6М5-ВЦ (10,0) СЦП 10902 блистер",шт,650.0
"Сверло по металлу Р6М5-ВЦ (17,0) СЦП 10902В",шт,1045.0
"Сверло по металлу Р6М5-ВЦ (19,0) СЦП 10902В",шт,1305.0
"Сверло по металлу Р6М5-ВЦ (2,5) СЦП 10902 блистер",шт,55.0
"Сверло по металлу Р6М5-ВЦ (3,0) СЦП 10902 блистер",шт,70.0
"Сверло по металлу Р6М5-ВЦ (3,2) СЦП 10902 блистер",шт,85.0
"Сверло по металлу Р6М5-ВЦ (3,5) СЦП 10902 блистер",шт,75.0
"Сверло по металлу Р6М5-ВЦ (4,0) СЦП 10902 блистер",шт,105.0
"Сверло по металлу Р6М5-ВЦ (4,2) СЦП 10902 блистер",шт,115.0
"Сверло по металлу Р6М5-ВЦ (4,5) СЦП 10902 блистер",шт,95.0
"Сверло по металлу Р6М5-ВЦ (5,0) СЦП 10902 блистер",шт,140.0
"Сверло по металлу Р6М5-ВЦ (5,5) СЦП 10902 блистер",шт,145.0
"Сверло по металлу Р6М5-ВЦ (6,0) СЦП 10902 блистер",шт,210.0
"Сверло по металлу Р6М5-ВЦ (6,5) СЦП 10902 блистер",шт,180.0
"Сверло по металлу Р6М5-ВЦ (7,0) СЦП 10902 блистер",шт,260.0
"Сверло по металлу Р6М5-ВЦ (7,5) СЦП 10902 блистер",шт,290.0
"Сверло по металлу Р6М5-ВЦ (8,0) СЦП 10902 блистер",шт,345.0
"Сверло по металлу Р6М5-ВЦ (8,5) СЦП 10902 блистер",шт,300.0
"Сверло по металлу Р6М5-ВЦ (9,0) СЦП 10902 блистер",шт,345.0
"Сверло по металлу Р6М5-ВЦ (9,5) СЦП 10902 блистер",шт,420.0
"Сверло по металлу Р6М5-Ш (14,0) СЦП 10902В",шт,2000.0
"Сверло по металлу Р6М5-Ш (18,0) СЦП 10902ВТИЗ РОСС",шт,1220.0
"Сверло по металлу Р6М5-Ш (20,0) СЦП 10902В",шт,1335.0
"Сверло по металлу Р6М5-ШЦ (1,0) СЦП 10902 блистер",шт,75.0
"Сверло по металлу Р6М5-ШЦ (2,0) СЦП 10902 блистер",шт,65.0
Стамески / зубила / кернера / бородки,,147.0
"Бородок слесарный 8,0мм",шт,147.0
Зубило 300мм,шт,390.0
Стамеска 3в1 MAXIMUM 09165,шт,535.0
Уровни / отвесы / линейки,,100.0
Гидроуровень 10м,шт,485.0
Гидроуровень 15м,шт,685.0
Гидроуровень 15м LUX,шт,650.0
Гидроуровень 15м MAXIMUM,шт,500.0
Гидроуровень 20м MAXIMUM,шт,600.0
Гидроуровень 25м MAXIMUM,шт,715.0
Линейка треугольная MAXIMUM 3889,шт,340.0
Магнитный уголок большой,шт,415.0
Магнитный уголок большой MAXIMUM MX 10178,шт,250.0
Магнитный уголок маленький,шт,185.0
Магнитный уголок маленький MAXIMUM MX 10154,шт,120.0
Магнитный уголок средний,шт,305.0
Отбивка малярная 15 м. с краской,шт,190.0
Отвес 125 грамм,шт,135.0
Угловая линейка 25 см. Китай,шт,100.0
Угловая линейка 30 см. Китай,шт,110.0
Угловая линейка 35 см. Китай,шт,120.0
Угловая линейка 40 см. OSKAR,шт,470.0
Угловая линейка 40 см. Китай,шт,140.0
Угловая линейка 50 см. Китай,шт,170.0
Уровень 100см HAIBOSCI,шт,920.0
Уровень 120см HAIBOSCI,шт,1100.0
Уровень 2011 100см КИТАЙ,шт,900.0
Уровень 2011 40см  КИТАЙ,шт,530.0
Уровень 2011 60см  КИТАЙ,шт,610.0
Уровень 2011 80см Китай,шт,680.0
Уровень 30см HAIBOSCI,шт,540.0
Уровень 60см HAIBOSCI,шт,660.0
Уровень 80см HAIBOSCI,шт,810.0
Уровень МАСТЕР (40см),шт,250.0
Уровень МАСТЕР 100см,шт,400.0
Уровень МАСТЕР 60см,шт,275.0
Электро-инструменты,,2315.0
Аккумуляторный шуруповёрт MAXIMUM MX-15241,шт,2315.0
"Вибратор P.I.T 1,5м 1100W 31035",шт,6000.0
Вибратор для бетона 1600W HOTECHE P801711,шт,9600.0
КШ машинка 550W 125  P.I.T 91251,шт,3500.0
Насос циркулярный UPS25-8-180,шт,4800.0
Опрыскиватель электрический Китай,шт,4200.0
Угловая шлиф.машина 1000W 125  P.I.T 611251,шт,3360.0
Угловая шлиф.машина 1300W 150  P.I.T 611501,шт,4950.0
Угловая шлиф.машина 1600W 180  P.I.T 611801,шт,6110.0
Шланг для вибратора 4м HOTECHE P801714,шт,6730.0
ALTECO,,6530.0
Аккумуляторная дрель шуруповерт CD 1610 Li X2 ALTECO,шт,4800.0
Аккумуляторная дрель шуруповерт CD 21-35 X2 ALTECO,шт,6190.0
Аккумуляторная ударная дрель шуруповерт CID 21-35 ALTECO,шт,4600.0
Бензопила GCS 54-50 Pro ALTECO,шт,12600.0
"Бесщеточная аккум. удар,дрель шуруповерт CID 1813 Li BL ALTE",шт,6530.0
Бетоносмеситель БС-200 (М) ALTECO,шт,23800.0
Бетоносмеситель БС-200 С ALTECO,шт,21300.0
Инверторный сварочный аппарат ALTECO MMA-160C VRD,шт,4105.0
Инверторный сварочный аппарат ALTECO MMA-190C VRD,шт,4715.0
Компрессор ACD 20/200 ALTECO,шт,8900.0
Краскораспылитель SG 2203 ALTECO,шт,3160.0
Краскораспылитель SG 2204  ALTECO,шт,4200.0
Лобзиковая пила JS 650 1 ALTECO,шт,3025.0
Миксер строительный ALTECO MX 14002.1,шт,7630.0
Отбойный молоток SDS MAX DH 1700-25 ALTECO,шт,15570.0
Перфоратор ALTECO Professional SDS-max RH 1100-38,шт,7910.0
Перфоратор SDS PLUS RH 0215 ALTECO promo/26mm,шт,4460.0
Сетевой шуруповерт D 0327 (D 300-10) ALTECO,шт,2200.0
Сетевой шуруповерт D 0328 (D 300-10 MC) ALTECO,шт,2600.0
Тепловентилятор TVC-2500 E (2кВт) ALTECO,шт,1800.0
